Year,C.NAME,C.CODE,SH.H2O.BASW.UR.ZS,SH.H2O.BASW.RU.ZS,SH.STA.HYGN.ZS,SH.STA.BASS.ZS,SH.H2O.SMDW.UR.ZS,SH.STA.SMSS.ZS,SH.STA.ANVC.ZS,SL.UEM.TOTL.MA.ZS,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.ZS,SH.H2O.SMDW.ZS,HD.HCI.OVRL.FE,HD.HCI.OVRL.MA
2019,China,CHN,97.21319974,88.58270632,,90.85138344,95.1369634,68.03605785,,5.00400018692017,3.92400002479553,4.51999998092651,,,
2020,China,CHN,97.11488267,89.66123351,,92.37617808,95.04074614,69.65580705,,5.5310001373291,4.33799982070923,5,,0.659177899360657,0.646641552448273
2005,India,IND,92.85201703,79.11866408,,28.4835452,,15.3211176,,5.49399995803833,5.93900012969971,5.61299991607666,,,
2006,India,IND,92.90758804,79.76593755,,31.24230559,,17.27038835,74.2,5.49499988555908,5.90399980545044,5.60099983215332,,,
2007,India,IND,92.963011,80.41277995,,34.01546073,,19.28393109,,5.47700023651123,5.85200023651123,5.57200002670288,,,
2008,India,IND,93.01828589,81.05919126,,36.80268608,,21.30680318,,5.32600021362305,5.68100023269653,5.41400003433228,,,
2009,India,IND,93.07341273,81.7051715,,39.60301534,,23.3386407,,5.47100019454956,5.77199983596802,5.54400014877319,,,
2010,India,IND,93.12839152,82.35072067,66.89906807,42.41651879,,25.37938816,,5.48400020599365,5.74599981307983,5.5460000038147,,,
2011,India,IND,93.18322225,82.99583876,66.97611902,45.24319673,,27.42892062,,5.3730001449585,5.61100006103516,5.42600011825562,,,
2012,India,IND,93.23790492,83.64052577,67.05584145,48.08510146,,29.48719818,,5.37099981307983,5.57100009918213,5.41400003433228,,,
2013,India,IND,93.29243954,84.28478171,67.1380113,50.94117568,,31.55352208,,5.3899998664856,5.5479998588562,5.42399978637695,,,
2014,India,IND,93.3468261,84.92860657,67.22285792,53.81088813,,33.62723216,,5.41200017929077,5.52600002288818,5.43599987030029,,,
2015,India,IND,93.40106461,85.57200035,67.31037222,56.69339984,,35.70761814,,5.42000007629395,5.49100017547607,5.43499994277954,,,
2016,India,IND,93.45515505,86.21496306,67.40056273,59.58787271,,37.79397393,79.3,5.41699981689453,5.44700002670288,5.4229998588562,,,
2017,India,IND,93.50909745,86.85749469,67.49364379,62.49361923,,39.88551213,,5.35900020599365,5.35699987411499,5.35799980163574,,0.451,0.429
2018,India,IND,93.56289179,87.49959525,67.58940082,65.40956223,,41.89591302,,5.33799982070923,5.2979998588562,5.32999992370605,,0.491595357656479,0.478702425956726
2019,India,IND,93.61653807,88.14126473,67.68782584,68.33481002,,43.90429017,,5.36100006103516,4.93200016021729,5.26999998092651,,,
2020,India,IND,93.6700363,88.78250313,67.78892869,71.26847596,,45.90965899,,8.61900043487549,5.50699996948242,7.99700021743774,,0.500491142272949,0.48725688457489
2005,Liberia,LBR,80.44335982,54.31320769,,14.98613608,,,,2.12299990653992,2.25799989700317,2.18600010871887,,,
2006,Liberia,LBR,80.81129529,55.0570913,,15.21515877,,,,2.14299988746643,2.26200008392334,2.19899988174438,,,
2007,Liberia,LBR,81.17557275,55.79011132,,15.43948847,,,79.3,2.16499996185303,2.26799988746643,2.21300005912781,,,
2008,Liberia,LBR,81.5361922,56.51226773,,15.65875523,,,,2.19300007820129,2.27900004386902,2.23300004005432,,,
2009,Liberia,LBR,81.89315364,57.22356056,1.150671121,15.87533316,,,95.3,2.22099995613098,2.28900003433228,2.25300002098084,,,
2010,Liberia,LBR,82.24645706,57.92398978,1.154949693,16.08907782,,,,2.24600005149841,2.29699993133545,2.26999998092651,,,
2011,Liberia,LBR,82.59610247,58.61355541,1.159367709,16.30006099,,,95.4,2.26500010490417,2.16499996185303,2.21799993515015,,,
2012,Liberia,LBR,82.94208988,59.29225744,1.163902079,16.50766421,,,,2.28699994087219,2.03699994087219,2.17000007629395,,,
2013,Liberia,LBR,83.28441926,59.96009588,1.168575924,16.71216861,,,95.9,2.30699992179871,1.90699994564056,2.11899995803833,,,
2014,Liberia,LBR,83.62309064,60.61707072,1.173366035,16.9129365,,,,2.34100008010864,1.7849999666214,2.07999992370605,,,
2015,Liberia,LBR,83.95810401,61.26318196,1.178284036,17.11000494,,,,2.34100008010864,1.78600001335144,2.07999992370605,,,
2016,Liberia,LBR,84.28945936,61.89842961,1.183329933,17.30317359,,,97.9,3.74499988555908,2.33200001716614,3.07999992370605,,,
2017,Liberia,LBR,84.61715671,62.52281366,1.188480463,17.49178368,,,,3.68600010871887,2.33500003814697,3.04900002479553,,0.325,0.314
2018,Liberia,LBR,84.94119604,63.13633412,,17.6760717,,,,3.64199995994568,2.34500002861023,3.02999997138977,,0.322331607341766,0.312901794910431
