event_id,Event,Country Name,Country Code,Start Date,End Date,Start Month,End Month,Start Year,End Year,Description,Outcome
56,United Nations High Commissioner for Refugees (UNHCR) reports ,Mozambique,MOZ,18,18,12,12,2020,2020,The United Nations High Commissioner for Refugees (UNHCR) reports that attacks from armed groups,"Displaced more than 530,000 people"
57,Mozambican flood,Mozambique,MOZ,22,2,2,2,2007,2007,The 2007 Mozambican flood began in late December 2006 when the Cahora Bassa Dam overflowed from heavy rains on Southern Africa,There were 29 confirmed casualties and a further 10 unconfirmed deaths
58,Illegal fishing Report,Mozambique,MOZ,1,31,1,12,2020,2020,The Bazaruto Archipelago National Park (PNAB) reports,At least 56 dead and 146 hospitalized
59, A mass poisoning at a funeral ,Mozambique,MOZ,10,10,1,1,2015,2015,A mass poisoning at a funeral in Mozambique involves beer that was deliberately contaminated with crocodile bile,The government tightens health restrictions as new cases rise to 422 per day
60,White Supremacist Wade Michael Page,United States,USA,5,5,8,8,2012,2012,"Opens fire at a Sikh temple in Oak Creek, Wisconsin",Killing six and wounding four before committing suicide after police arrived
61,A mass shooting ,United States,USA,2,2,4,4,2012,2012,A former student at the school,43 students were killed
62,"Two-day shooting spree in Potomac, Maryland",United States,USA,5,6,5,5,2016,2016,The suspect is believed to be a former police officer,3 people were killed or injured
63,Indigenous Peoples' Day,United States,USA,15,15,3,3,2019,2019,The New Mexico legislature votes to replace Columbus Day with Indigenous Peoples' Day,Gained respect and provided rights to indiginious
64,A charter bus rolls over,United States,USA,14,14,5,5,2016,2016,"A charter bus rolls over on Route 83 north of Laredo, Texas",Eight people are killed and 44 others injured
65,"312,000 jobs newly created",United States,USA,4,4,1,1,2019,2019,Manufacturing ended 2018 with the most jobs added in one year since 1997,"Far ahead of predictions of 177,000"
66,COVID-19 pandemic,United States,USA,10,10,6,6,2020,2020,Nationwide confirmed COVID-19 cases surpass 2 million,Tons of people died of Covid
67,George Floyd protests,United States,USA,28,29,5,5,2020,2020,"George Floyd protests: A state of emergency is declared in the Twin Cities, with hundreds of National Guard soldiers deployed on the streets as protests spread nationwide",Gained supports for racial injustice
68,An explosion in Little Tokyo,United States,USA,16,16,5,5,2020,2020,"An explosion in Little Tokyo, Los Angeles sets multiple buildings on fire",Left 11 firefighters injured
69,Students stage a walkout and rally at the Capitol building,United States,USA,15,15,3,3,2019,2019,Demanding legal action on climate change,Gained supports for against climate change
70,APEC Vietnam 2017,Vietnam,VNM,6,11,11,11,2017,2017,A year-long hosting of Asia-Pacific Economic Cooperation (APEC) meetings in Vietnam,Opened more economical oppotunity
71,2016 Summer Olympics,Vietnam,VNM,5,21,8,8,2016,2016,"7 athletes from Vietnam competed in the 2016 Summer Olympics in Rio de Janeiro, Brazil",Great achievement in international sport events
72,Vietnam marine environment disaster,Vietnam,VNM,6,18,4,4,2016,2016,A large number of dead fish were found on the coast of Hà Tĩnh and three other provinces,Serious nature disaster
73,Establish of Vietnamese Environment Administration ,Vietnam,VNM,30,30,9,9,2008,2008,The management of environmental issues in Vietnam,Reduced environmental issues
74,Vietnam's Economy 2019,Vietnam,VNM,1,19,1,12,2019,2019,Expanding by an estimated 6.8 percent,Massive economical grouth
75,New marriage law goes into effect,Vietnam,VNM,1,1,1,1,2015,2015,Vietnam’s new marriage law goes into effect. Same-sex marriages are no longer prohibited,Not recognized as being legally valid
76,Bridge collapsions,Vietnam,VNM,24,24,2,2,2014,2014,A bridge collapses as they are transporting a coffin in Lai Châu Province,Tons of innocent people died
77,Joining the CPTPP,Vietnam,VNM,8,8,3,3,2018,2018,Creating convenient conditions for Vietnamese products to enter the markets of trading partners,Massive economical grouth
78,Anti-China protest in Hanoi,Vietnam,VNM,8,8,2,2,2014,2014,"Ballroom dancers and aerobics classes have popped up in the midst of an anti-China protest in Hanoi, in an apparent ploy by the government to break up the event.",Caused tensions between people of two countires
79,Joining the World Trade Organization ,Vietnam,VNM,7,7,11,11,2006,2006,the General Council at the World Trade Organization (WTO) approved Vietnam's accession package,Massive economical grouth
80,2016 Summer Olympics,South Africa,ZAF,5,21,8,8,2016,2016,"68 athletes from South Africa completed at the 2016 Summer Olympics in Rio de Janeiro, Brazil",Exposed in more international events
81,2019 African Netball Championships,South Africa,ZAF,18,23,10,10,2019,2019,2019 African Netball Championships was held in South Africa and hosts South Africa were adjudged the winners of the tournament,Proofed ability of holding international game
82,State of the Nation (SONA2017),South Africa,ZAF,9,9,2,2,2017,2017,President Jacob Zuma presented the State of the Nation (SONA2017) to a joint sitting of the two Houses of Parliament,Improved political justice
83,Leaked documents ,South Africa,ZAF,23,2,2,2,2015,2015,Leaked documents derived from communications between South Africa's State Security Agency and various agencies are published by Al Jazeera and The Guardian,Exposed corruption of government administration
84,Human Rights Day,South Africa,ZAF,21,21,3,3,2020,2020,Human Rights Day in South Africa,Demonstrated development of human rights
85,Fraud trial,South Africa,ZAF,15,15,11,11,2020,2020,Preacher Shepherd Bushiri and his wife flee to Malawi to avoid a fraud trial,Released corrupt governent issues
86,COVID-19 pandemic,South Africa,ZAF,18,18,12,12,2020,2020,"Minister of Health Zweli Mkhize said scientists had discovered a new variant of virus, called 501.V2 Variant",More and more innocent people died
87,The first One-Day International (ODI),South Africa,ZAF,3,3,3,3,2019,2019,The first One-Day International (ODI) match in the series between South Africa and Sri Lanka,Proofed ability of holding international game
88,Calls for bringing back the death penalty,South Africa,ZAF,8,8,8,8,2018,2018,The National Freedom Party calls for bringing back the death penalty in South Africa after the death of Khensani Maseko,Improvement of law justice
89,The murder of Mozambican immigrant and taxi driver,South Africa,ZAF,25,25,8,8,2015,2015,"Eight former police officers are convicted for the murder of Mozambican immigrant and taxi driver, Mido Macia, in the North Gauteng High Court",Presented insecured and unwelvomed society
